Item,Frequency,Pronunciation
sluggish,0.78,S L AH G IH SH
sluice,0.27,S L UW S
slum,1.27,S L AH M
slumber,2.75,S L AH M B AH R
slump,1.2,S L AH M P
slurp,0.43,S L AH R P
slurry,0.04,S L AH R IY
sly,2.67,S L AY
smack,9.51,S M AE K
small,124.96,S M AO L
smaller,13.33,S M AO L AH R
smallest,3.25,S M AO L AH S T
smallish,0.27,S M AO L IH SH
smallness,0.04,S M AO L N AH S
smallpox,1.47,S M AO L P AA K S
smalltime,0.18,S M AO L T AY M
smart,96.25,S M AA R T
smarter,10.84,S M AA R T AH R
smash,8.25,S M AE SH
smattering,0.18,S M AE T AH R IH NG
smear,2.18,S M IH R
smell,83.14,S M EH L
smelt,1.02,S M EH L T
smile,58,S M AY L
smirk,0.8,S M AH R K
smite,0.57,S M AY T
smithereens,0.55,S M IH DH AH R IY N Z
smithy,1.24,S M IH TH IY
smog,1.08,S M AO G
smoke,65.43,S M OW K
smokehouse,0.35,S M OW K HH AW S
smoker,2.27,S M OW K AH R
smokescreen,0.16,S M OW K S K R IY N
smoky,0.67,S M OW K IY
smooth,18.27,S M UW DH
smoothbore,0.02,S M UW DH B OW R
smoother,0.96,S M UW DH AH R
smoothest,0.22,S M UW DH AH S T
smoothness,0.12,S M UW DH N AH S
smother,1.18,S M AH DH AH R
smudge,1,S M AH JH
smug,2.39,S M AH G
smuggle,2,S M AH G AH L
smuggler,1.22,S M AH G AH L AH R
snack,9.14,S N AE K
snag,1.9,S N AE G
snail,1.76,S N EY L
snake,22.35,S N EY K
snap,17.39,S N AE P
snapdragon,0.02,S N AE P D R AE G IH N
snapper,0.67,S N AE P AH R
snapping,1.69,S N AE P IH NG
snappy,2.94,S N AE P IY
snapshot,1.04,S N AE P SH AA T
snare,0.76,S N AE R
snarl,0.53,S N AA R L
snatch,3.9,S N AE CH
snazzy,0.61,S N AE Z IY
sneak,16.88,S N IY K
sneaker,0.69,S N IY K AH R
sneaky,4.24,S N IY K IY
sneer,0.75,S N IH R
sneeze,2.94,S N IY Z
snick,0.02,S N IH K
snicker,0.29,S N IH K AH R
sniff,3.55,S N IH F
snigger,0.02,S N IH G AH R
snip,2.12,S N IH P
sniper,4.35,S N AY P AH R
sniping,0.25,S N AY P IH NG
snippy,0.92,S N IH P IY
snob,2.18,S N AA B
snobbery,0.2,S N AA B AH R IY
snobbish,0.31,S N AA B IH SH
snoop,2.49,S N UW P
snore,1.61,S N OW R
snoring,2.88,S N AO R IH NG
snort,1.16,S N AO R T
snout,0.84,S N AW T
snow,31.35,S N OW
snowball,1.39,S N OW B AO L
snowfall,0.39,S N OW F AO L
snowflake,1.18,S N OW F L EY K
snowstorm,0.86,S N OW S T AO R M
snowy,1.06,S N OW IY
snub,0.39,S N AH B
snuff,2,S N AH F
snug,1.43,S N AH G
snuggle,1.29,S N AH G AH L
so,4244.16,S OW
soak,3.45,S OW K
soaking,2.75,S OW K IH NG
soap,15.2,S OW P
soapy,0.49,S OW P IY
soar,1.53,S OW R
sob,1.51,S AA B
sober,10.1,S OW B AH R
sobriety,0.65,S AH B R AY AH T IY
sobriquet,0.02,S OW B R IH K EY
soccer,12.55,S AA K AH R
sociability,0.04,S OW SH AH B IH L IH T IY
sociable,1,S OW SH AH B AH L
social,33.39,S OW SH AH L
socialism,0.57,S OW SH AH L IH Z AH M
socialist,1.27,S OW SH AH L IH S T
socialistic,0.06,S OW SH AH L IH S T IH K
socialization,0.2,S OW SH AH L AH Z EY SH IH N
socialize,0.96,S OW SH AH L AY Z
societal,0.16,S AH S AY IH T AH L
societe,0.02,S OW S IY EH T EY
society,32.92,S IH S AY AH T IY
socioeconomic,0.16,S OW S IY OW EH K AH N AA M IH K
sociological,0.27,S OW S IY AH L AA JH IH K AH L
sociologist,0.14,S OW S IY AA L AH JH IH S T
sociology,0.43,S OW S IY AA L AH JH IY
sock,8.98,S AA K
socket,1.61,S AA K IH T
sod,1.84,S AA D
soda,19.84,S OW D AH
sodden,0.12,S AA D AH N
sodium,2.47,S OW D IY AH M
sofa,5.86,S OW F AH
soft,32.02,S AO F T
soften,1.49,S AO F AH N
softener,0.45,S AO F AH N AH R
softening,0.45,S AO F N IH NG
softer,1.71,S AO F T AH R
softest,0.37,S AO F T AH S T
softly,4.73,S AO F L IY
softness,0.47,S AO F N AH S
softwood,0.02,S AO F T W UH D
soggy,0.98,S AA G IY
soil,7.78,S OY L
soiree,0.75,S W AA R EY
sojourn,0.25,S OW JH AH R N
sojourner,0.06,S OW JH AH R N AH R
solace,1.53,S AA L AH S
solar,4.63,S OW L AH R
solder,0.04,S AA D AH R
soldier,38.92,S OW L JH AH R
soldiery,0.04,S OW L JH AH R IY
sole,5.25,S OW L
solely,1.75,S OW L IY
solemn,2.2,S AA L AH M
solemnity,0.06,S AH L EH M N IH T IY
solicit,0.61,S AH L IH S IH T
solicitor,0.88,S AH L IH S IH T AH R
solicitous,0.14,S AH L IH S IH T AH S
solicitude,0.06,S AH L IH S IH T UW D
solid,19.57,S AA L IH D
solidarity,0.78,S AA L AH D AE R AH T IY
solidify,0.2,S AH L IH D AH F AY
solidity,0.08,S AH L IH D IH T IY
solipsism,0.12,S AA L IH P S IH Z AH M
solitary,3.41,S AA L IH T EH R IY
solitude,2,S AA L IH T UW D
solo,8.55,S OW L OW
soloist,0.2,S OW L OW IH S T
solstice,0.31,S OW L S T IH S
soluble,0.16,S AA L Y UW B AH L
solution,15.82,S AH L UW SH IH N
solve,19.49,S AO L V
solvency,0.08,S AO L V AH N S IY
solvent,0.55,S AA L V AH N T
soma,0.24,S OW M AH
somatic,0.12,S OW M AE T IH K
some,1727.24,S AH M
somebody,344.53,S AH M B AA D IY
someone,446.12,S AH M AH R
someplace,31.59,S AH M P L EY S
somersault,0.49,S AH M AH R S AO L T
something,1500.16,S AH M TH IH NG
somewhat,9.1,S AH M HH W AH T
somewhere,111.53,S AH M W EH R
sommelier,0.12,S AH M AH L Y EY
somnolent,0.02,S AA M N AH L AH N T
son,410.76,S AH N
sonar,4.14,S OW N AA R
sonata,0.63,S AH N AA T AH
song,93.69,S AO NG
songbook,0.06,S AO NG B UH K
sonic,1.94,S AA N IH K
sonnet,0.76,S AA N IH T
sonny,17.29,S AH N IY
sonogram,0.27,S AO N AH G R AE M
sonorous,0.04,S AH N OW R AH S
soon,257.65,S UW N
soot,1.08,S UH T
soothe,1.29,S UW DH
soothsayer,0.12,S UW TH S EY AH R
sop,0.27,S AA P
sophisticate,0.04,S AH F IH S T AH K AH T
sophisticated,6.78,S AH F IH S T IH K EY T IH D
sophistication,0.96,S AH F IH S T AH K EY SH AH N
sophomore,2.86,S AA F AH M OW R
sopping,0.22,S AA P IH NG
soprano,2.65,S AH P R AE N OW
sorcery,0.65,S AO R S AH R IY
sordid,2.49,S AO R D IH D
sore,15,S OW R
soreness,0.1,S OW R N AH S
sorghum,0.16,S AO R G AH M
sorority,1.88,S AH R AO R AH T IY
sorrel,0.41,S AO R AH L
sorriest,0.37,S AA R IY AH S T
sorrow,6.86,S AA R OW
sorry,1167.96,S AA R IY
sort,148.71,S AO R T
sortie,0.08,S AO R T IY
souffle,0.43,S UW F L EY
soul,76.96,S OW L
soulful,0.43,S OW L F AH L
sound,143.39,S AW N D
sounder,0.12,S AW N D AH R
sounding,3.78,S AW N D IH NG
soundness,0.04,S AW N D N AH S
soundproof,0.8,S AW N D P R UW F
soup,25.2,S UW P
sour,5.82,S AW R
source,28.18,S OW R S
south,64.47,S AW TH
southbound,0.78,S AW TH B AW N D
southeast,3.27,S AW TH IY S T
southeastern,0.18,S AW TH IY S T AH R N
southern,11.61,S AH DH AH R N
southerner,0.22,S AH DH AH R N AH R
southpaw,0.51,S AW TH P AO
southward,0.25,S AW TH W AH R D
southwest,3.43,S AW TH W EH S T
southwestern,0.31,S AW TH W EH S T AH R N
souvenir,4.71,S UW V AH N IH R
sovereign,2.51,S AA V AH R AH N
sovereignty,0.57,S AA V R IH N T IY
soviet,7.06,S OW V IY IH T
sow,1.92,S AW
sowbelly,0.14,S AW B EH L IY
sowing,0.2,S OW IH NG
soy,2.31,S OY
soybean,0.49,S OY B IY N
spa,4.69,S P AA
space,66.06,S P EY S
spacecraft,2.25,S P EY S K R AE F T
spacer,0.1,S P EY S AH R
spaceship,3.69,S P EY S SH IH P
spacesuit,0.12,S P EY S S UW T
spacing,0.55,S P EY S IH NG
spacious,1.14,S P EY SH IH S
spade,2.31,S P EY D
spaghetti,5.92,S P AH G EH T IY
span,1.98,S P AE N
spangle,0.08,S P AE NG G AH L
spangled,0.24,S P AE NG G AH L D
spaniel,0.84,S P AE N Y AH L
spar,0.71,S P AA R
spare,30.84,S P AE R
spark,6.27,S P AA R K
sparkle,1.67,S P AA R K AH L
sparkling,2,S P AA R K AH L IH NG
sparrow,2.61,S P AE R OW
sparse,0.22,S P AA R S
spasm,1.1,S P AE Z AH M
spat,1.55,S P AE T
spate,0.2,S P EY T
spatial,0.57,S P EY SH AH L
spatter,1.18,S P AE T AH R
speak,187.18,S P IY K
speaker,6.9,S P IY K AH R
speaking,69.9,S P IY K IH NG
spear,4.55,S P IH R
spearhead,0.35,S P IH R HH EH D
special,148.57,S P EH SH AH L
specialist,5.18,S P EH SH AH L IH S T
specialization,0.06,S P EH SH AH L AH Z EY SH IH N
specialize,1.33,S P EH SH AH L AY Z
specialty,5.33,S P EH SH AH L T IY
specie,0.08,S P IY SH IY
species,13.65,S P IY SH IY Z
specific,17.8,S P AH S IH F IH K
specifically,10.27,S P AH S IH F IH K L IY
specification,0.16,S P EH S IH F IH K EY SH IH N
specificity,0.1,S P EH S AH F IH S AH T IY
specify,0.9,S P EH S IH F AY
specimen,4.75,S P EH S AH M AH N
specious,0.22,S P IY SH IH S
speck,1.86,S P EH K
spectacle,2.57,S P EH K T IH K AH L
spectacular,5.67,S P EH K T AE K Y UH L AH R
spectator,0.9,S P EH K T EY T AH R
specter,0.33,S P EH K T AH R
spectral,0.63,S P EH K T R AH L
spectrometer,0.16,S P EH K T R AA M IH T AH R
spectrophotometric,0.02,S P EH K T R OW F OW T AH M EH T R IH K
spectroscopy,0.12,S P EH K T R AA S K AH P IY
spectrum,2.16,S P EH K T R AH M
speculate,1.22,S P EH K Y UH L EY T
speculation,2.31,S P EH K Y UH L EY SH IH N
speculative,0.24,S P EH K Y UH L EY T IH V
speculator,0.1,S P EH K Y AH L AH T AH R
speech,38.04,S P IY CH
speechless,1.75,S P IY CH L IH S
speed,41.25,S P IY D
speedboat,0.53,S P IY D B OW T
speedometer,0.24,S P IH D AA M AH T AH R
speedup,0.02,S P IY D AH P
speedy,1.96,S P IY D IY
spell,36.65,S P EH L
spelling,5.02,S P EH L IH NG
spend,93.27,S P EH N D
spender,1.33,S P EH N D AH R
spending,24.78,S P EH N D IH NG
spew,0.47,S P Y UW
spewing,0.37,S P Y UW IH NG
sphere,2.47,S F IH R
spherical,0.18,S F IH R IH K AH L
spic,1.16,S P IH K
spice,5.29,S P AY S
spicy,3.31,S P AY S IY
spider,10.1,S P AY D AH R
spidery,0.08,S P AY D AH R IY
spigot,0.29,S P IH G AH T
spike,12.25,S P AY K
spill,8.47,S P IH L
spin,14.63,S P IH N
spinach,2.55,S P IH N IH CH
spindle,0.41,S P IH N D AH L
spine,5.75,S P AY N
spineless,0.86,S P AY N L IH S
spiral,1.78,S P AY R AH L
spire,0.1,S P AY R
spirit,49.35,S P IH R IH T
spirited,1.22,S P IH R IH T IH D
spiritual,8.88,S P IH R IH CH UW AH L
spirituality,0.9,S P IH R IH CH UH AE L AH T IY
spiritually,1.08,S P IH R IH CH AH W AH L IY
spit,19.35,S P IH T
spite,7.61,S P AY T
spittle,0.24,S P IH T AH L
splash,4.22,S P L AE SH
splashy,0.16,S P L AE SH IY
splatter,0.86,S P L AE T AH R
splay,0.08,S P L EY
spleen,2.57,S P L IY N
splendid,11.67,S P L EH N D IH D
splendidly,0.61,S P L EH N D IH D L IY
splendor,1.18,S P L EH N D AH R
splice,0.39,S P L AY S
splicing,0.24,S P L AY S IH NG
splinter,1.47,S P L IH N T AH R
split,38.31,S P L IH T
splotch,0.08,S P L AA CH
splurge,0.37,S P L AH R JH
spoil,11.63,S P OY L
spoke,38.63,S P OW K
spokesman,1.18,S P OW K S M AH N
sponge,6.71,S P AH N JH
spongy,0.24,S P AH N JH IY
sponsor,5.35,S P AA N S AH R
sponsorship,0.43,S P AA N S AH R SH IH P
spontaneity,0.82,S P AA N T IH N IY AH T IY
spontaneous,4.18,S P AA N T EY N IY AH S
spoof,0.24,S P UW F
spooky,4.73,S P UW K IY
spoon,7.61,S P UW N
spoonful,0.59,S P UW N F UH L
sporadic,0.27,S P AH R AE D IH K
spore,0.14,S P OW R
sport,19.9,S P OW R T
sportiest,0.02,S P OW R T IY AH S T
sportsman,0.69,S P OW R T S M AH N
sportsmanship,0.55,S P OW R T S M AH N SH IH P
sportswriter,0.71,S P AO R T S R AY T AH R
spot,61.57,S P AA T
spotless,1.18,S P AA T L AH S
spotlight,2.9,S P AA T L AY T
spotty,0.63,S P AA T IY
spouse,1.9,S P AW Z
spout,1.02,S P AW T
sprain,0.84,S P R EY N
sprawl,0.14,S P R AO L
spray,9.65,S P R EY
spraying,1.2,S P R EY IH NG
spread,31.29,S P R EH D
spreader,0.69,S P R EH D AH R
spreading,6.75,S P R EH D IH NG
spree,2.14,S P R IY
sprig,0.24,S P R IH G
sprightly,0.14,S P R AY T L IY
spring,31.31,S P R IH NG
springboard,0.08,S P R IH NG B OW R D
springtime,1.47,S P R IH NG T AY M
sprinkle,1.45,S P R IH NG K AH L
sprinkling,0.39,S P R IH NG K L IH NG
sprint,0.71,S P R IH N T
sprout,0.9,S P R AW T
sprouting,0.25,S P R AW T IH NG
spruce,1.1,S P R UW S
spur,1.43,S P AH R
spurious,0.1,S P Y UH R IY AH S
spurn,0.22,S P AH R N
spurt,0.37,S P AH R T
sputnik,0.51,S P UH T N IH K
sputter,0.12,S P AH T AH R
spy,20.06,S P AY
squabble,0.45,S K W AA B AH L
squabbling,0.29,S K W AA B L IH NG
squad,21.49,S K W AA D
squadron,4.39,S K W AA D R AH N
squalid,0.29,S K W AA L AH D
squall,0.39,S K W AO L
squander,0.59,S K W AA N D AH R
square,31.76,S K W AE R
squash,4.37,S K W AA SH
squashy,0.04,S K W AA SH IY
squat,3.14,S K W AA T
squatter,0.24,S K W AA T AH R
squaw,1.31,S K W AO
squawk,1.71,S K W AO K
squeak,2.37,S K W IY K
squeaking,1.75,S K W IY K IH NG
squeaky,1.98,S K W IY K IY
squeal,2.67,S K W IY L
squeamish,0.88,S K W IY M IH SH
squeeze,15.08,S K W IY Z
squelch,0.24,S K W EH L CH
squint,1,S K W IH N T
squire,3.08,S K W AY R
squirm,0.82,S K W AH R M
squirrel,5.47,S K W AH R AH L
squirt,2.75,S K W AH R T
stab,8.76,S T AE B
stability,1.76,S T AH B IH L IH T IY
stabilization,0.14,S T EY B AH L AH Z EY SH IH N
stabilize,1.49,S T EY B AH L AY Z
stabilizer,0.55,S T EY B AH L AY Z AH R
stable,13.2,S T EY B AH L
stableman,0.02,S T EY B AH L M AH N
staccato,0.16,S T IH K AA T OW
stack,6.1,S T AE K
stadium,6.12,S T EY D IY AH M
staff,32,S T AE F
stag,1.59,S T AE G
stage,45.57,S T EY JH
stagecoach,1,S T EY JH K OW CH
stagger,0.59,S T AE G AH R
staggering,1.59,S T AE G AH R IH NG
stagnant,0.27,S T AE G N IH N T
stagnation,0.1,S T AE G N EY SH IH N
stain,6.2,S T EY N
staining,0.27,S T EY N IH NG
stainless,0.73,S T EY N L AH S
stair,1.35,S T AE R
staircase,1.75,S T AE R K EY S
stairway,1.59,S T AE R W EY
stairwell,2.12,S T AE R W EH L
stake,16.61,S T EY K
stale,2.92,S T EY L
stalemate,0.47,S T EY L M EY T
stalk,1.69,S T AO K
stall,8.96,S T AO L
stallion,3.2,S T AE L Y AH N
stalwart,0.43,S T AO L W AH R T
stamen,0.08,S T EY M AH N
stamina,1.59,S T AE M AH N AH
stammer,0.27,S T AE M AH R
stamp,5.92,S T AE M P
stampede,1.33,S T AE M P IY D
stamping,0.55,S T AE M P IH NG
stance,1.88,S T AE N S
stanch,0.02,S T AO N CH
stand,226.2,S T AE N D
standard,18.43,S T AE N D AH R D
standardize,0.06,S T AE N D AH R D AY Z
standby,2.96,S T AE N D B AY
standing,78.31,S T AE N D IH NG
standpoint,1.33,S T AE N D P OY N T
standstill,0.51,S T AE N D S T IH L
staple,1.12,S T EY P AH L
stapling,0.18,S T EY P L IH NG
star,81.35,S T AA R
starboard,6.55,S T AA R B AH R D
starch,1.35,S T AA R CH
starchy,0.22,S T AA R CH IY
stardom,0.61,S T AA R D AH M
stare,9.96,S T AE R
stark,6.49,S T AA R K
starlet,0.59,S T AA R L IH T
starlight,1.59,S T AA R L AY T
starling,2.04,S T AA R L IH NG
start,340.1,S T AA R T
starter,2.73,S T AA R T AH R
starting,69.76,S T AA R T IH NG
startle,1.18,S T AA R T AH L
startling,1.37,S T AA R T L IH NG
startup,0.27,S T AA R T AH P
starvation,1.47,S T AA R V EY SH IH N
starve,6.16,S T AA R V
stash,5.04,S T AE SH
stasis,0.37,S T EY S AH S
state,107.84,S T EY T
stateless,0.14,S T EY T L IH S
stately,0.45,S T EY T L IY
statement,29.24,S T EY T M AH N T
stateroom,0.8,S T EY T R UW M
statesman,0.61,S T EY T S M AH N
statesmanlike,0.02,S T AH T EH S M AH N L AY K
statesmanship,0.12,S T EY T S M AH N SH IH P
statewide,0.29,S T EY T W AY D
static,4.98,S T AE T IH K
station,79.08,S T EY SH IH N
stationary,0.96,S T EY SH IH N EH R IY
stationery,1.37,S T EY SH IH N EH R IY
stationmaster,0.16,S T EY SH AH N M AE S T AH R
statistic,0.61,S T AH T IH S T IH K
statistical,0.9,S T AH T IH S T IH K AH L
statistically,1.37,S T AH T IH S T IH K AH L L IY
statistician,0.02,S T AE T IH S T IH SH IH N
statuary,0.06,S T AE CH UW EH R IY
statue,10.59,S T AE CH UW
statuette,0.08,S T AE CH UH EH T
stature,1.67,S T AE CH AH R
status,14.71,S T AE T IH S
statute,1.9,S T AE CH UW T
statutory,0.92,S T AE CH AH T OW R IY
staunch,0.35,S T AO N CH
staunchest,0.04,S T AO N CH AH S T
stave,0.33,S T EY V
stay,515.65,S T EY
stead,1.06,S T EH D
steadier,0.12,S T EH D IY AH R
steadiness,0.06,S T EH D IY N IH S
steady,22.71,S T EH D IY
steak,16.24,S T EY K
steal,53.33,S T IY L
stealer,0.24,S T IY L AH R
stealing,24.8,S T IY L IH NG
stealth,2.78,S T EH L TH
steam,13.45,S T IY M
steamboat,0.51,S T IY M B OW T
steamer,1.04,S T IY M AH R
steamship,0.47,S T IY M SH IH P
steed,2.55,S T IY D
steel,18.45,S T IY L
steep,2.45,S T IY P
steeper,0.14,S T IY P AH R
steepest,0.06,S T IY P AH S T
steeple,0.41,S T IY P AH L
steer,5.98,S T IH R
stein,3.04,S T AY N
stellar,0.8,S T EH L AH R
stem,2.24,S T EH M
stench,2.22,S T EH N CH
stenography,0.08,S T IH N AA G R AH F IY
step,118.67,S T EH P
stepchild,0.14,S T EH P CH AY L D
stepladder,0.35,S T EH P L AE D AH R
stepmother,4.24,S T EH P M AH DH AH R
steppe,0.35,S T EH P
stepson,0.53,S T EH P S AH N
stereo,5.96,S T EH R IY OW
stereophonic,0.1,S T EH R IY AH F AA N IH K
stereotype,0.71,S T EH R IY AH T AY P
sterile,2.18,S T EH R AH L
sterility,0.18,S T AH R IH L IH T IY
sterilization,0.33,S T EH R AH L AH Z EY SH IH N
sterilize,0.47,S T EH R AH L AY Z
sterling,2.22,S T AH R L IH NG
stern,6.41,S T AH R N
sternal,0.59,S T AH R N AH L
sternum,0.8,S T AH R N AH M
steroid,0.39,S T EH R OY D
stethoscope,0.94,S T EH TH AH S K OW P
stevedore,0.04,S T IY V AH D OW R
stew,6.43,S T UW
steward,2.75,S T UW AH R D
stewardess,3.16,S T UW AH R D IH S
stewardship,0.04,S T UW AH R D SH IH P
stick,97.12,S T IH K
stickler,0.9,S T IH K AH L AH R
stickpin,0.12,S T IH K P IH N
sticky,5.73,S T IH K IY
stiff,10.25,S T IH F
stiffen,0.2,S T IH F AH N
stiffening,0.16,S T IH F N IH NG
stiffer,0.22,S T IH F AH R
stiffness,0.18,S T IH F N AH S
stifle,0.29,S T AY F AH L
stigma,0.53,S T IH G M AH
stiletto,0.33,S T IH L EH T OW
still,788.73,S T IH L
stillness,0.43,S T IH L N AH S
stilt,0.04,S T IH L T
stilted,0.16,S T IH L T IH D
stimulant,0.51,S T IH M Y UH L AH N T
stimulate,1.37,S T IH M Y AH L EY T
stimulating,2.35,S T IH M Y AH L EY T IH NG
stimulation,1.37,S T IH M Y UH L EY SH IH N
stimulus,0.51,S T IH M Y UH L AH S
sting,7.02,S T IH NG
stingy,1.24,S T IH N JH IY
stink,13.2,S T IH NG K
stint,0.75,S T IH N T
stipulate,0.63,S T IH P Y UH L EY T
stipulation,0.18,S T IH P Y UH L EY SH IH N
stir,5.9,S T AH R
stirling,0.2,S T AH R L IH NG
stirring,2.61,S T AH R IH NG
stirrup,0.24,S T AH R AH P
stitch,7.47,S T IH CH
stock,25.49,S T AA K
stockade,1.45,S T AA K EY D
stockbroker,1.06,S T AA K B R OW K AH R
stockholder,0.88,S T AA K HH OW L D AH R
stocking,2.63,S T AA K IH NG
stockpiling,0.2,S T AA K P AY L IH NG
stockroom,0.55,S T AA K R UW M
stocky,0.18,S T AA K IY
stodgy,0.16,S T AA JH IY
stoicism,0.12,S T OW AH S IH Z AH M
stoke,1.18,S T OW K
stoker,1.71,S T OW K AH R
stolid,0.04,S T AA L AH D
stomach,33.82,S T AH M AH K
stomp,2.67,S T AA M P
stone,40.63,S T OW N
stoneware,0.04,S T OW N W AE R
stony,0.61,S T OW N IY
stool,3.51,S T UW L
stoop,2.45,S T UW P
stop,707.27,S T AA P
stopover,0.39,S T AA P OW V AH R
stoppage,0.24,S T AA P IH JH
stopper,0.51,S T AA P AH R
storage,8.86,S T OW R IH JH
store,81.92,S T OW R
storefront,0.45,S T OW R F R AH N T
storehouse,0.31,S T OW R HH AW S
storekeeper,0.33,S T AO R K IY P AH R
storeroom,1.63,S T OW R R UW M
storied,0.08,S T OW R IY D
storm,30.86,S T AO R M
stormy,1.45,S T AO R M IY
story,220.78,S T OW R IY
storyline,0.14,S T AO R IY L AY N
storyteller,0.53,S T AO R IY T EH L AH R
stout,1.04,S T AW T
stove,7.59,S T OW V
stow,1.25,S T OW
straddle,0.51,S T R AE D AH L
strafe,0.1,S T R EY F
straggle,0.02,S T R AE G AH L
straggler,0.24,S T R AE G L AH R
straight,122.43,S T R EY T
straightaway,1,S T R EY T AH W EY
straighten,11.2,S T R EY T AH N
straightforward,2,S T R EY T F AO R W AH R D
strain,7.08,S T R EY N
strait,0.18,S T R EY T
strand,1.84,S T R AE N D
strange,86.43,S T R EY N JH
strangely,4.47,S T R EY N JH L IY
strangeness,0.35,S T R EY N JH N AH S
stranger,27,S T R EY N JH AH R
strangest,3.31,S T R EY N JH IH S T
strangle,4.37,S T R AE NG G AH L
strangulation,0.96,S T R AE NG G Y UH L EY SH IH N
strap,5.16,S T R AE P
strapping,1,S T R AE P IH NG
stratagem,0.22,S T R AE T IH JH IH M
strategic,2.59,S T R AH T IY JH IH K
strategically,0.45,S T R AH T IY JH IH K L IY
strategist,0.41,S T R AE T IH JH IH S T
strategy,9.45,S T R AE T IH JH IY
stratification,0.02,S T R AE T IH F AH K EY SH IH N
stratosphere,0.47,S T R AE T IH S F IH R
stratum,0.04,S T R AE T AH M
straw,6.24,S T R AO
strawberry,5.53,S T R AO B EH R IY
stray,5.33,S T R EY
streak,5.78,S T R IY K
stream,8.04,S T R IY M
streamer,0.04,S T R IY M AH R
streamline,0.51,S T R IY M L AY N
streamliner,0.24,S T R IY M L AY N AH R
street,148.18,S T R IY T
streetcar,1.27,S T R IY T K AA R
streetlight,0.49,S T R IY T L AY T
strength,36.92,S T R EH NG TH
strengthen,1.61,S T R EH NG TH IH N
strengthening,0.35,S T R EH NG TH AH N IH NG
strenuous,0.59,S T R EH N Y UW AH S
stress,15.61,S T R EH S
stressful,2.51,S T R EH S F AH L
stretch,14.67,S T R EH CH
stretcher,2.22,S T R EH CH AH R
stretching,2.22,S T R EH CH IH NG
strew,0.04,S T R UW
strict,7.02,S T R IH K T
strictest,0.69,S T R IH K T AH S T
strictly,10.75,S T R IH K T L IY
stricture,0.04,S T R IH K CH AH R
stride,2.1,S T R AY D
strife,1.67,S T R AY F
strike,45.57,S T R AY K
strikebreaker,0.02,S T R AY K B R EY K AH R
striking,4.39,S T R AY K IH NG
strikingly,0.12,S T R AY K IH NG L IY
string,12.67,S T R IH NG
stringy,0.41,S T R IH NG IY
strip,15.69,S T R IH P
stripe,1.45,S T R AY P
stripper,5.24,S T R IH P AH R
striptease,0.67,S T R IH P T IY Z
strive,1.31,S T R AY V
striving,0.47,S T R AY V IH NG
stroke,13.08,S T R OW K
stroking,0.73,S T R OW K IH NG
stroll,4.14,S T R OW L
strong,86.86,S T R AO NG
stronger,19.1,S T R AO NG G AH R
strongest,4.75,S T R AO NG G AH S T
stronghold,1.18,S T R AO NG HH OW L D
strongly,6.71,S T R AO NG L IY
strop,0.16,S T R AA P
structural,1.82,S T R AH K CH AH R AH L
structure,10.18,S T R AH K CH AH R
struggle,13.37,S T R AH G AH L
strum,0.24,S T R AH M
strut,1.57,S T R AH T
strychnine,0.43,S T R IH K N AY N
stub,0.96,S T AH B
stubble,0.35,S T AH B AH L
stubborn,10.86,S T AH B AH R N
stubbornness,0.51,S T AH B AH R N AH S
stubby,0.49,S T AH B IY
stucco,0.37,S T AH K OW
stud,6.94,S T AH D
student,43.04,S T UW D AH N T
studio,23.33,S T UW D IY OW
studious,0.12,S T UW D IY AH S
studiously,0.02,S T UW D IY AH S L IY
study,49.04,S T AH D IY
stuff,306.92,S T AH F
stuffy,3.63,S T AH F IY
stumble,1.96,S T AH M B AH L
stump,2.45,S T AH M P
stumpy,1.31,S T AH M P IY
stun,1.88,S T AH N
stunning,4.1,S T AH N IH NG
stunt,9.2,S T AH N T
stupefy,0.08,S T UW P AH F AY
stupendous,0.65,S T UW P EH N D IH S
stupid,184.41,S T UW P IH D
stupidest,2.37,S T UW P IH D AH S T
stupidity,3.2,S T UW P IH D IH T IY
stupor,0.37,S T UW P AH R
sturdy,1.69,S T AH R D IY
sturgeon,0.37,S T AH R JH IH N
style,30.08,S T AY L
styling,0.84,S T AY L IH NG
stylish,2.16,S T AY L IH SH
stylist,0.86,S T AY L IH S T
stylistic,0.02,S T AY L IH S T IH K
stylization,0.02,S T AY L AH Z EY SH AH N
stylize,0.02,S T AY AH L AY Z
stymie,0.16,S T AY M IY
styrene,0.02,S T AY R IY N
suave,0.92,S W AA V
suavity,0.02,S W AA V AH T IY
sub,7.65,S AH B
subaltern,0.02,S AH B AO L T AH R N
subatomic,0.9,S AH B AH T AA M IH K
subcommittee,0.84,S AH B K AH M IH T IY
subconscious,2.63,S AH B K AA N CH IH S
subcontinent,0.04,S AH B K AA N T AH N IH N T
subcontract,0.08,S AH B K AA N T R AE K T
subdivision,0.57,S AH B D IH V IH ZH AH N
subdue,0.8,S AH B D UW
subject,36.96,S AH B JH IH K T
subjective,1.12,S AH B JH EH K T IH V
subjectivity,0.12,S AH B JH EH K T IH V IH T IY
subjugate,0.02,S AH B JH IH G EY T
subjugation,0.24,S AH B JH IH G EY SH IH N
sublease,0.04,S AH B L IY S
sublimate,0.1,S AH B L AH M EY T
sublime,1.45,S AH B L AY M
submachine,0.29,S AH B M AH SH IY N
submarine,7.1,S AH B M AH R IY N
